0,harmonized labeling,in cgc2 typelist,in cgc2 subtypelist,dc.type,dc.subtype,peer-reviewed y/n,dc.format,dc.title,dc.description,dc.subject,dc.subject vocab=GACS/AGROVOC/CAB,dc.creator,dc.creator ID,dc.creator Affiliation,dc.publisher,dc.contributor type=Project,dc.contributor Project Lead Center,dc.contributor type=Partner,dc.contributor type=CRP,dc.contributor type=Donor,dc.contact,dc.contact.email,dc.date,dc.date type=completion,dc.date type=availability,dc.language,dc.identifier,dc.identifier type=bibliographiCitation,dc.identifier type=identifier,dc.source,howpublished,booktitle,chapter,pages,volume,number,series,edition,notes,dc.relation,dc.relation hasFormat,dc.relation isFormatOf,dc.relation hasPart,dc.relation isPartOf,dc.relation hasVersion,dc.relation isVersionOf,dc.relation conformsTo,dc.relation replaces,dc.relation isReplacedBy,dc.relation references,dc.relation isReferencedBy,dc.relation requires,dc.relation isRequiredBy,isMetadataFor,dc.relation HasMetadata,dc.contributor type=person role=Editor,dc.contributor type=person role=HostingInstitution,dc.contributor type=person role=ProjectLeader,dc.contributor type=person role=Producer,dc.contributor type=person role=Data analyst,dc.contributor type=person role=Supervisor,dc.contributor type=person role=ServiceProvider,dc.contributor type=person role=Geoinformation Specialist,dc.contributor type=person role=translator,dc.contributor type=person role=other,dc.rights,dc.license,dc.accessRights,terms of use,dc.rightsHolder,dc.targetaudience,event name,event type,event date,dc.coverage,dc.coverage type=Region,dc.coverage type=Country,dc.coverage type=Administrative Unit,dc.coverage type=AEZ (FAO),dc.coverage type=ChronologicalPeriod,dc.coverage type=ChronologicalPeriod eventtype=Single,dc.coverage type=ChronologicalPeriod eventtype=Start / End,dc.coverage type=geospatial X,dc.coverage type=geospatial Y,dc.coverage type=geospatial bounding box,dc.coverage type=geospatial reference system
284,Presentation,1,-1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,recommended,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,not applicable,optional,optional,optional,not applicable,optional,recommended,recommended,recommended,recommended,optional,not applicable
347,Thesis,1,-2,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,required if applicable,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,required if applicable,optional,optional,recommended,required,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
4,spreadsheet,0,1,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,required if applicable,required,recommended,optional,optional,optional,recommended,optional,recommended,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,optional,not applicable
1,Taxonomy,0,1,required,recommended,not applicable,not applicable,required,required,optional,recommended,required,recommended,recommended,optional,required if applicable,recommended,recommended,recommended,required if applicable,required,required,required,required,required,required,recommended,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,not applicable,not applicable,optional,optional,optional,not applicable
6,bibliographic database,0,1,required,recommended,not applicable,not applicable,required,required,optional,recommended,required,recommended,recommended,optional,required if applicable,recommended,recommended,recommended,required if applicable,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,optional,not applicable,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,not applicable,not applicable,optional,optional,optional,not applicable
273,Policy,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,not applicable,not applicable,optional,not applicable
84,Photograph,0,1,required,recommended,not applicable,not applicable,required,required,required,recommended,required,recommended,recommended,required,required if applicable,recommended,recommended,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,recommended,recommended,recommended,recommended,optional,not applicable
35,Table,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,required if applicable,required if applicable,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,recommended,recommended,optional,optional,optional,not applicable
59,Speech,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
68,module,0,0,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
71,TV Broadcast,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,optional,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
79,graphic,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
81,Logo,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
86,graphic-Animated/interactive,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,recommended,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
91,Radio Broadcast,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,recommended,recommended,recommended,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
102,book series,0,1,required,recommended,optional,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
109,Vocabulary,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
112,Catalog,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
118,webpage,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
119,Wiki,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
120,Model,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
135,Abstract,0,1,required,recommended,optional,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
142,Blog,0,1,required,recommended,not applicable,not applicable,required,required,recommended,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
146,Book Chapter-Peer-Reviewed,0,0,required,recommended,required,not applicable,required,required,recommended,recommended,required,recommended,recommended,required,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
155,Case Study,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
168,Contract,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
173,Concept Note,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
175,Government Document,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
177,Memorandum,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
180,Notebook,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
188,Dictionary Entry,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
189,Encyclopedia Entry,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
192,Equation,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
194,Factsheet,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
196,Good Practice Note,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
202,Handbook,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
211,Internal Document,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
214,Standard operating procedure,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
231,Letter,0,1,required,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,optional,recommended,recommended,not applicable,optional,optional,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,not applicable,required,recommended,not applicable,recommended,not applicable,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,not applicable
